id,raw_id,location,fetched_at,processed_at,last_updated,temp_c,temp_f,condition,wind_mph,wind_kph,humidity,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,uv,gust_mph,gust_kph
41c2fa58-887d-452d-9741-fcd3c3380be6,71a6ad8a-26a7-492e-ab64-af4b00891cb0,29001,2026-04-18 23:34:56.814159,2026-04-18 23:35:29.279371+00,2026-04-18 19:30,30.3,86.5,Sunny,7.8,12.6,35,28.6,83.5,31,87.9,29.7,85.5,9.6,49.2,0.2,15.1,24.3
abac48e8-b4e3-4bbb-9a3d-9feca7e8a73d,06133979-af6b-4809-ad22-f106d02215ff,29003,2026-04-18 23:34:57.655937,2026-04-18 23:35:29.343218+00,2026-04-18 19:30,29.4,84.9,Sunny,6,9.7,39,28.5,83.3,30.4,86.7,29.9,85.7,12.8,55,0.3,11.5,18.6
91873a2c-d05c-4684-9129-667b75d35209,3e76bdb9-7c1f-4d9a-8c3b-b4b9ebbc3eda,29006,2026-04-18 23:34:58.409653,2026-04-18 23:35:29.369969+00,2026-04-18 19:30,29.2,84.6,Sunny,10.5,16.9,40,28.6,83.5,29,84.2,28.8,83.9,13.1,55.5,0.3,17.5,28.1
7c43a4be-8436-4296-9496-7a5ae23688d0,af01dded-0c09-4a3b-8608-d620ef06f2aa,29009,2026-04-18 23:34:59.134351,2026-04-18 23:35:29.397411+00,2026-04-18 19:30,29.3,84.7,Sunny,7.8,12.6,35,27.5,81.6,29.9,85.8,28.6,83.4,8.2,46.8,0.3,15.1,24.4
24a88bae-0789-4ee4-80ae-92d628185d1a,48afbf3b-ba28-45c1-b0b6-8b9a1f215116,29010,2026-04-18 23:34:59.704841,2026-04-18 23:35:29.42291+00,2026-04-18 19:30,29.3,84.7,Sunny,7.4,11.9,35,27.4,81.2,30.9,87.5,29.2,84.5,7.8,46,0.2,14.8,23.9
6a3224f5-1fed-41c9-a9c4-65733d2abd8c,0fcbbd27-11b3-4fbd-ae5e-d55f94368adb,29014,2026-04-18 23:35:00.521517,2026-04-18 23:35:29.450757+00,2026-04-18 19:30,27,80.6,Sunny,5.4,8.6,42,26.1,78.9,30,85.9,29.1,84.3,11.1,52,0.3,10.9,17.5
802448a4-4f1c-46b9-aaa7-1528bc698a67,ccf0542d-6dca-4e67-a4b8-3ab3e9902319,29015,2026-04-18 23:35:01.3414,2026-04-18 23:35:29.473506+00,2026-04-18 19:30,28.1,82.6,Sunny,7.8,12.6,37,27.2,81,30.2,86.3,29.5,85.1,12.6,54.8,0.3,14,22.5
0dd28c43-9ad5-42fe-a970-04f6a475a0e6,06c51727-f708-4d7a-a057-2f27e1f29fd3,29016,2026-04-18 23:35:02.161008,2026-04-18 23:35:29.500389+00,2026-04-18 19:30,28.1,82.6,Sunny,7.4,11.9,37,27,80.6,30.1,86.1,29.2,84.6,11.2,52.2,0.3,13.2,21.3
246ed1dc-5979-47e3-99dc-ae2d2eec5b39,bbd3c178-50f3-43d1-80d7-e3d555989fd8,29018,2026-04-18 23:35:02.877248,2026-04-18 23:35:29.525274+00,2026-04-18 19:30,29.4,84.9,Sunny,8.1,13,39,28.2,82.7,30.8,87.4,29.8,85.7,11.4,52.5,0.1,14.9,24
d1c113cc-ed78-43d5-996b-8a4c0916dbe0,1b46fa97-0e46-4c0b-a80f-12a5bc4422c2,29020,2026-04-18 23:35:03.697449,2026-04-18 23:35:29.550305+00,2026-04-18 19:30,31.3,88.3,Sunny,6,9.7,31,30,86,30.7,87.3,29.6,85.3,10.8,51.5,0.3,12.2,19.7
